id,tenses.0,tenses.1,tenses.2,tenses.3,sentences.0,sentences.1
29,accordingly,,,,"With regard to the instructions, I’ll be acting accordingly.",
30,accountant,,,,My accountant does taxes on her computer. Do you think that your accountant can help me too?,
31,accustom,accustomed,,,I got accustomed to the New York weather.,
32,ache,,,,I have a horrible ache in one tooth; I may need to have it pulled. Has your leg ached lately or is it feeling better?,
33,achieve,achievement,achieved,,I’ll do everything possible to achieve my goals. Have you already achieved the tax reduction measure?,
34,acknowledge,acknowledged,,,I acknowledge what you said but I just don't agree. Would you please acknowledge that you understood my last statement?,
35,acknowledgment,,,,Have you read the acknowledgments in that dissertation?,
36,acquaintance,,,,How many close acquaintances do you actually have?,
37,acquire,acquired,,,I’ve acquired a lot of knowledge by reading books.,
38,across,,,,We will meet at that corner across the street. Should we go across this particular stadium?,
39,actor,,,,He was a good actor in all the Shakespeare plays. How many actors have you met at this theater?,
40,actress,,,,"She is a wonderful actress, isn’t she? Will she be in the new movie?",
41,actual,,,,Would you please tell me the actual story? I don't want your opinions.,
42,actually,,,,How many bottles of beer have you actually drunk in your life time?,
43,addition,additional,,,In addition to firing you I will file an official complaint with your trade-union.,
44,address,addressed,,,To whom should this letter be addressed?,To which address should I mail this letter?
45,adjectives,,,,How many adjectives are there in that sentence?,
46,adjourn,,,,Let's adjourn the meeting for today; we can continue another day.,
47,admiration,,,,"He showed a lot of admiration to me, personally.",
48,admire,,,,I admire you for all you have done for me.,
49,admissions,,,,Excuse me; where is the Office of Admissions?,
50,admittance,,,,Is admittance dependent upon intelligence?,
51,adopt,adopted,,,"I do not want to adopt even one single child. If we adopt that suggestion, we may all be happier.",
52,advantage,,,,That office location has a lot of advantages. Does he have an advantage over me?,
53,adventure,adventurous,,,How many really fun adventures have you had in your business life?,
54,advertise,advertisement,,,How often do you advertise in the local papers?,
55,advertisement,,,,Have you seen that funny advertisement with the three frogs?,
56,advice,,,,I need some advice on how to use this computer. How often should I give you advice?,
57,affair,,,,I don’t know for sure how many affairs he has had during the last four years. Am I interfering with a personal affair?,
58,affect,affects,,,Do you want to know how it affects me? My business was seriously affected by his dishonest actions.,
59,affectionately,,,,He looked at her very affectionately and smiled.,
60,affidavit,,,,An affidavit is needed to receive a visa at the consulate. Do you need an affidavit from that witness or not?,
61,afternoon,,,,We expect this afternoon to be quite warm. Do you like drinking coffee in the afternoon?,
62,afterward,,,,"He told me, afterward, that he didn't like my proposal in the first place.",
63,afterwards,,,,"Afterwards, it appeared to be a good idea.",
64,again,,,,"I keep seeing him again and again. Didn't I tell him, “Come again, please?”",
65,against,,,,He came and stood against the wall.,
66,age,,,,What age is she? She is 127 years of age and was given a spot in the Guinness Book of Records.,
67,agency,agencies,,,"ITAR-TASS was, sometime ago, a governmental agency. How many secretarial agencies have you visited lately?",
68,agenda,,,,What do you think about my proposed agenda? I’ve never written any agendas even though I know what should be done.,
69,ago,,,,It took place many years ago. How many days ago did you receive my letter?,
70,agony,,,,The agony of defeat is what we're trying to avoid.,
71,agreeable,agree,,,They’re very agreeable kind of folk.,
72,agreement,,,,I thought about it overnight and now I can tell you that we are in agreement with each other.,
73,agriculture,,,,In Russia we have a Minister of Agriculture but we don’t have any agricultural products.,
74,air,,,,"“Shut up!” said the producer of the show, “We are on the air.” How did the air smell?",
75,airplane,,,,"I, hate airplanes; they fly too high. So many airplanes have crashed in the recent past!",
76,aisle,,,,What aisle should I go down to get the kind of crackers I like? Don’t go to any aisle; go home instead.,
77,alcohol,alcoholic,,,What percentage of alcohol does that beer have? I like drinking non-alcoholic beverages.,
78,alien,,,,"INS doesn't like aliens and nobody knows why. When the unidentified flying object (UFO) landed, two hundred aliens stepped out.",
79,all,,,,"All of us are trying to gain as much knowledge as possible, at least so far.",
80,allegiance,,,,I have changed allegiances; now I follow the other regime.,
81,alloy,,,,The other metal alloy would be less costly.,
82,almighty,,,,The Almighty Wizard of Oz has spoken.,
83,almost,,,,He came when it was almost 9:00. Which book has almost everybody read for sure?,
84,aloof,,,,He was very aloof after I told him the news; I couldn't get him to talk.,
85,alphabet,,,,"I don’t like the Latin alphabet, but I adore the Cyrillic one.",
86,already,,,,When I arrived at the party there were already 40 people there. When did you first realize that you weren't that smart? When I came home the dinner was already served.,
87,also,,,,"And you, Brutus, also sold yourself to the Bolsheviks?",
88,altar,,,,We’ll meet by the altar tomorrow night.,
89,alter,altered,,,That dress got altered by the best tailor in town.,
90,although,,,,Although I know a lot of words I still cannot communicate properly.,
91,altogether,,,,We gathered altogether and then we shared stories.,
92,altos,,,,Some of the altos can sing higher than the sopranos.,
93,always,,,,"Didn't you always hear, “Listen to your mother”?",
94,ambassador,,,,I met the Ambassador to Italy at the party.,
95,ambition,,,,She has more ambitions than the average twelve year old.,
96,ambitious,,,,He is an ambitious young man with many different ambitions.,
97,amendment,,,,We need to add another amendment to the constitution.,
98,American,,,,Americans have a lot of idiosyncrasies.,
99,among,,,,There is a traitor among us!,
100,amount,amounted,,,What was the actual amount? It all has amounted to only 100 dollars.,
101,amusement,amuse,amused,,I liked visiting that amusement park. I’m amused!,
102,ancestors,,,,Did your ancestors live in Africa?,
103,ancient,,,,Moscow scientists have unearthed some ancient manuscripts.,
104,angels,,,,I have not seen any real angels yet.,
105,angle,,,,From what angle should we look into that problem?,
106,angry,,,,The day before yesterday I saw a couple of angry people who were fighting.,
107,animal,,,,"What kinds of animals do you prefer most? Fewer and fewer people go to the movies, nowadays.",
108,ankle,,,,A couple of weeks ago I fell and broke my ankle.,
109,announce,announcement,,,He came in and made an announcement.,
110,annual,,,,I met plenty of people at the annual meeting of our bank’s shareholders.,
111,answer,,,,"What will the answer be? Hey, you didn't answer my question.",
112,antiseptic,,,,That medicine has a lot of antiseptic qualities.,
113,anxious,anxiously,,,How anxious are you to get in touch with him? He looked at me anxiously.,
114,any,,,,"May any of us go along with you? Yes, I can go along with your proposal.",
115,anybody,,,,Does anybody know where the nearest deli is located?,
116,anymore,,,,I don’t like you anymore. We don’t have any more beetle juice.,
117,anyone,,,,Has anyone ever seen a UFO?,
118,anywhere,,,,You will not find that kind of service anywhere else! It’s not his book; it’s somebody else’s.,
119,apartment,,,,"I’ve seen many good apartments, but this one is the best.",
120,apparatus,,,,That mad scientist constructed that apparatus.,
121,apparently,,,,"Apparently, I’ve seen you before somewhere.",
122,appeal,,,,The criminal’s lawyer appealed to the Supreme Court.,
123,appear,,,,You will need to appear before the judge on September 17th.,
124,appearance,,,,Appearances can be deceiving.,
125,appendicitis,,,,I had appendicitis so had my appendix removed.,
126,appetite,,,,"Recently, I have had a bad appetite.",
127,applicant,,,,"I don’t like that applicant; he is very irritating. If they weren't present tonight, I wouldn't be able to submit my application on time.",
128,apply,application,,,Let's apply what we've already learned so far.,
129,appoint,appointed,,,He was appointed to a higher position.,
130,appreciate,appreciated,,,Your assistance will be greatly appreciated.,
131,appreciation,,,,I cannot describe my appreciation for your effort.,
132,approach,,,,What kind of approach should we use in this particular case?,
133,appropriation,,,,The appropriation of funds is not enough.,
134,approve,approval,,,I want you to approve what I’m doing now.,
135,approximately,,,,"Can you tell me, approximately, what time it is now?",
136,April,,,,I like the month of April because it rarely rains.,
137,architect,,,,One of Ayn Rand's novels described an architect achieving greatness.,
138,arctic,,,,I hate all of the arctic birds.,
139,are,to be,is,,Aren’t you a beer lover?,
140,area,,,,Would you please clear this area? Did I make myself clear?,
141,argument,,,,Yesterday we had a big argument with my mom.,
142,arithmetic,,,,I understand nothing in arithmetics.,
143,arm,,,,"Have you ever hurt your arm? No, I haven’t.",
144,armory,,,,The armory doesn't store personal rifles.,
145,army,,,,In which platoon of the U.S. Army were you?,
146,around,,,,Stop going around with that angry scowl on your face. Be more direct! Stop rambling!,
147,arrange,,,,Do you want to arrange your schedule so that you can go to your doctor’s appointment?,
148,arrangement,,,,I made all the necessary arrangements. Everybody will die unnecessarily. It doesn't necessarily mean that I cannot come tonight.,
149,arrival,,,,I unfortunately missed the plane’s arrival.,
150,arrive,arrived,,,Will your plane arrive on time?,
151,art,,,,Modern art is sometimes difficult to interpret.,
152,article,,,,Please finish writing that newspaper article.,
153,ascend,ascension,ascended,,Then the angel ascended into heaven.,
154,ascertain,,,,We might want to ascertain the answer before continuing our discussion.,
155,ask,asking,asked,,Don't ask me that!,
156,assemble,,,,"Before I assemble the model airplane, I want to read the instructions.",
157,assembly,,,,The assembly of ambassadors had lots of wisdom to share on human rights.,
158,assign,assignment,assigned,,The teacher assigned the homework just before the schoolbell rang.,
159,assist,,,,"If I assist you in doing the dishes, will you then take a nap?",
160,assistance,,,,"Thank you, but your assistance in doing the dishes is not needed.",
161,association,,,,"There are many associations of writers, but you want one that has interesting people.",
162,assume,assumption,assumed,,She assumed that the computer would work after the technician spent four hours with it.,
163,assure,assurance,,,I assure you: I locked the door before leaving.,
164,assuring,,,,"Assuring that everyone would have an equal chance to participate, the leader began explaining the rules of the game.",
165,astonish,astonishment,astonished,,Santa Claus was astonished to come down the chimney and find little Sally awake.,
166,ate,eat,eaten,,John ate the biggest hamburger I have ever seen!,
167,athlete,athletic,,,Athletes are very fussy about the kind of athletic shoes they wear.,
168,attaching,,,,The space shuttle is attaching itself to the space station port.,
169,attacked,attack,,,"If you go out at night, you may be attacked by a bear.",
170,attempt,attempted,,,I am attempting to explain my reasons for spanking you but you won't stop crying.,
171,attendant,,,,The flight attendant brought me a magazine with all the pages ripped out!,
172,attention,,,,Attention students: Do not leave before the bell has rung.,
173,attorney,attorneys,,,The judge said that all attorneys had to stand when presenting their cases.,
174,attract,attractive,attracted,,Lots of bugs are attracted to light.,
175,audience,,,,Don't audience members have an equal right to ask questions?,
176,August,,,,"It was a hot day in the month of August, when I suddenly realized I was too old to ride a bike.",
177,aunt,,,,Aunt Mary is my father's sister.,
178,author,,,,This book's authors are both professional economists.,
179,authority,authorities,,,"If you always listen to authority, you will never be a leader, yourself.",
180,automobile,,,,That automobile factory has the most efficient assembly line.,
181,autumn,,,,"It's autumn, when the leaves are changing, that is my favorite time of year.",
182,available,,,,No other time slots are available; you'll have to take the one at 4:00.,
183,avenue,,,,The avenues in New York City run north and south.,
184,average,,,,"If I would have been an average student, you might be right, but I always made A's.",
185,awful,,,,That state is awfully far to be going to just for the weekend.,
186,awhile,,,,Awhile back I thought those people were Martians; now I realize they're just short.,
187,babies,,,,Fourteen babies were born in that hospital yesterday.,
188,baby,,,,A baby might cry during the ceremony so let's not let them in.,
189,back,,,,"To get in back of the refrigerator, we'll need two strong men.",
190,backward,,,,I turned backward just in time to see Mrs. Jones fall.,
191,backwards,,,,He can skate backwards just as well as he can skate forwards.,
192,bag,,,,I'd like to buy a big bag of potato chips.,
193,baggage,,,,"Baggage often looks alike on the conveyor belt at the airport, so pay attention.",
194,balance,balancing,,,The circus artist performed a nice balancing act on the highwire.,
195,balcony,,,,I met my husband in the second balcony of the theater.,
196,ball,,,,The cat should not play with my ball of yarn.,
197,ballot,,,,"Before marking your ballots, think carefully about for whom you want to vote.",
198,banana,,,,Monkeys eat bananas but they don't like banana peelings.,
199,bandage,,,,The nurse bandaged the wound with a new kind of gauze.,
200,bank,,,,Robbers tried to hold up the bank because it had lots of safety deposit boxes.,
201,bankrupt,bankruptcy,,,Before going bankrupt the company sold off all its assets to pay debts.,
202,banquet,,,,The country club offered a lovely banquet to all its existing members.,
203,barbarous,,,,"If that man doesn't quit acting in a barbarous manner, he will be banned from the club.",
204,bargain,,,,We always go to the basement of these stores to see if we can find any cheap bargains.,
205,barley,,,,Barley is not grown in my country so we have to import it.,
206,barrel,,,,Barrels of oil sell for more on the market in our country.,
207,basement,,,,Her basement is so cold that they store wine down there.,
208,basis,bases,,,"If you would explain the basis of your argument, I might understand why you said that.",
209,basketball,,,,I started playing basketball on the streets with only one net.,
210,battle,,,,"You may have won the battle, but you haven't won the war.",
211,be,,,,To be or not to be; that is the question.,
212,beach,,,,There is not enough sand on that beach to accommodate pedestrians and cars.,
213,beard,,,,His beard was red but his curly mustache was brown.,
214,bearing,,,,"Bearing a resemblance to me, my sister went to class in my place.",
215,beast,,,,"Burrows may be the beasts of burden, but pigs are the butt of too many jokes.",
216,beautiful,,,,The valley is beautiful in the spring when the flowers are blooming.,
217,beauty,,,,Beauty is in the eye of the beholder.,
218,became,,,,"If he became a mathematician, why can he not add these numbers now?",
219,because,,,,It is because you are young that you are not allowed to go to the adult movie.,
220,become,became,,,Don't become a rock singer; dance instead.,
221,bed,,,,"You, young man, better go to bed right now!",
222,beefsteak,,,,I ordered my beefsteak medium rare.,
223,been,to be,,,I have been to that restaurant before and I know their food is the best.,
224,began,,,,"When I began my journeys, I had plenty of food.",
225,beggar,,,,Don't act like a beggar; volunteer your efforts in return for their participation.,
226,begin,began,begun,,"If you would finally begin reading the book, you would know what I'm talking about.",
227,beginning,,,,"At the beginning of time, no humans existed.",
228,begun,,,,"Just after the play had begun, I had a terrible urge to cough.",
229,belief,,,,It is Samantha's firm belief that philosophy is the basis for all human productivity.,
230,believe,believes,believed,believing,"If you believe in that doctrine, then you'll have no trouble believing in free will.",
231,beneath,,,,Beneath the surface of the earth is a layer of granite.,
232,benefit,,,,We would all benefit from your explaining what happened at the meeting.,
233,besides,,,,"There is nothing besides economics, that I can't do without.",
234,bestial,,,,"When Tom explained his reasons for hitting her, he was almost bestial in nature.",
235,between,,,,I want to sit between Mrs. Smith and Mr. Richards.,
236,beverage,,,,"After the plane has taken off, we will be serving beverages for your convenience.",
237,beware,,,,Beware of the big dog!,
238,beyond,,,,The motorcycle is beyond repair; we might as well take it to the junk yard.,
239,Bible,,,,The books of the Bible were written by many different people.,
240,bicycle,,,,Three of us rode bicycles while Bernie ran alongside of us.,
241,beware,,,,Beware of the big dog!,
242,beyond,,,,The motorcycle is beyond repair; we might as well take it to the junk yard.,
243,bible,,,,The books of the Bible were written by many different people.,
244,bicycle,,,,Three of us rode bicycles while Bernie ran alongside of us.,
245,bill,,,,I got my phone bill yesterday and had placed over a hundred long distance calls.,
246,bird,,,,I want to draw a picture of a bird with a long wing span.,
247,birthday,,,,"If I'm a good girl, will you give me a tricycle for my birthday?",
248,biscuit,,,,Georgians can't eat breakfast without good old traditional biscuits.,
249,blackboard,,,,I hate the dust created by using those blackboards.,
250,blacksmith,,,,"When the blacksmith finished making the horseshoes, he packed up and went home.",
251,blood,,,,Vampires and mosquitoes both want to suck your blood.,
252,blossom,blossomed,,,The blossoms on that tree have been beautiful for days.,
253,blouse,,,,You wouldn't believe the huge spot of coffee spilt on her blouse.,
254,blue,,,,The sky is blue and there's not a cloud in the sky.,
255,board,,,,How many boards can you make out of a tree that size?,
256,boarder,,,,That nice lady gives the boarders of her house good meals too.,
257,boast,boastful,boasting,,Richard has been boasting about his racing skills all day.,
258,boat,,,,It'll take four hours by boat but only one by car.,
259,body,,,,My body aches all over after walking all day.,
260,book,,,,Read any good books lately?,
261,bootblack,,,,Take your boots to the bootblack on 85th; he charges the least for a shine.,
262,borrow,borrowed,,,"If I let you borrow my computer, will you write my paper for me?",
263,bottle,bottled,,,In that country you have to drink bottled water or you'll get sick.,
264,bottom,,,,"From the bottom of my heart, I give you this necklace.",
265,bough,,,,This bough is the largest branch of any tree in this area.,
266,bought,buy,,,"I bought so much food, I couldn't carry it all to the car.",
267,boundary,,,,Don't go over the boundaries of your land or you might get shot.,
268,box,,,,You can make a nice playhouse out of one of those big refrigerator boxes.,
269,boy,,,,A boy turns into a man when he's old enough to know better.,
270,boycott,,,,"If that company doesn't stop hiring young kids, we're going to boycott their products.",
271,brake,,,,The brakes in my car better be fixed or I won't be able to stop.,
272,bread,,,,The kind of bread I like for my sandwiches is rye.,
273,breadth,,,,Did you know that the breadth of that piece of furniture is more than the height and depth put together?,
274,break,,,,"If you break one more window with your baseballs, I'll spank you.",
275,breakfast,,,,Having a good breakfast in the morning starts your day out right.,
276,breast,,,,I only like to eat the breasts of chickens because they have more meat.,
277,breath,,,,You could see her breath on the cold winter day.,
278,breathe,,,,The police officer made Tony breathe into some contraption to see if he had been drinking.,
279,bricklayer,,,,What would a bricklayer do if not laying bricks for my new house?,
280,bridge,,,,We went over the longest bridge but couldn't see the river down below.,
281,bridle,,,,The horse's bridle was cut by someone.,
282,brilliant,,,,The chess master made some brilliant moves just before having her knight castled.,
283,bring,brought,,,Bring those cookies to me; I'm hungry.,
284,broke,break,broken,,My bike broke so now I have to walk.,
285,broken,,,,I am sick of broken promises; don't do it if you don't mean it.,
286,bronze,bronzed,,,Her mother had the baby's shoes bronzed so they would keep forever.,
287,brother,,,,"My brother looks like my dad, while I look like my mom.",
288,brought,,,,Mary brought her little lamb to school one day for 'Show and Tell.',
289,bruise,,,,After falling on the sidewalk I have a gigantic bruise on my left elbow.,
290,bubbling,,,,The hot tub is bubbling so much because the jet sprays are too strong.,
291,bucket,,,,Jack wanted to carry the bucket of water to Jill but he fell down and broke his head.,
292,budget,,,,"If we stay within our monthly budget, we'll have extra money for a trip at the end of the year.",
293,bugle,,,,Every day starts with the sound of a bugle but I'd rather hear a rooster crow.,
294,build,,,,"If you build a rocket, you could fly to the moon.",
295,building,,,,That building is so tall that the top is covered by clouds some days.,
296,built,,,,"She lives in the house that I built, myself, although she changed the outer color.",
297,bulletin,,,,Do not pass out those bulletins at the start of the meeting; wait till the end.,
298,bundle,,,,My mom packaged all the food items into a cute bundle and then gave it to the homeless person.,
299,burden,,,,It's not a burden for me to carry your books; I like it.,
300,bureau,,,,The bureau of investigation has discovered that someone entered that room just before it was blown up.,
301,burglar,,,,Burglars have broken into neighborhood houses every day for the past week.,
302,burial,bury,,,We want to have a nice burial service for my grandmother who died yesterday.,
303,burst,,,,The balloon burst with a loud boom.,
304,bury,buried,,,The dog buried the bone in my backyard.,
305,bus,bussed,,,She rides one of the big yellow buses to school every day.,
306,business,,,,"I try to keep business separate from pleasure, but it's harder, now that I enjoy my work.",
307,busy,,,,"If everyone is so busy, how will we ever get anything accomplished?",
308,butcher,,,,Doesn't the butcher create thick steaks? I like them that way.,
309,butterfly,,,,"I have a hard time telling butterflies from moths, but I know butterflies are usually prettier.",
310,button,,,,Button your shirt and let's go.,
311,buy,bought,,,I went to the store to only buy some bread but came back with ten things.,
312,cabbage,,,,Cabbage soup is inexpensive but can be really tasty.,
313,cabinet,,,,I want to replace all the cabinets in my kitchen; they don't match each other.,
314,cablegram,,,,Send him a cablegram saying we arrived safely.,
315,cafeteria,,,,The good thing about a cafeteria is that you can see the food before ordering it.,
316,calendar,,,,My calendar is so full next month that I won't be able to make an appointment for you.,
317,call,called,calling,,"If you call him 'Anthony' he will answer, but if you call him 'Tony' he won't.",
318,came,come,coming,,"Immediately after they came to my house, I served dinner.",
319,cameos,cameo,,,"Sally had a cameo appearance in that television show, but she didn't act very well.",
320,camera,,,,I have a 35 millimeter camera but I rarely take pictures.,
321,campaign,,,,The campaign contributions for that politician were over a million dollars.,
322,can't,cannot,,,"If we can't get him to go work out, he'll be fat forever.",
323,candidate,,,,The candidates for the office have all shown up; we can start the debate.,
324,candle,,,,I will keep a candle lit on my windowsill until my husband returns from war.,
325,cannery,,,,"The third grades got a tour of the cannery, and watched soups being canned.",
326,cannon,,,,In that war the best weaponry they had were cannons.,
327,canoeing,,,,We went canoeing down white water rapids and nearly tipped over.,
328,cantaloupe,,,,"If the cantaloupe is too hard, it's not ripe enough to eat.",
329,canvas,,,,At first I thought all tents were made of heavy canvas but now I see that some are of a light nylon material.,
330,canvass,canvassed,canvassing,,That politician had lots of people canvassing for her so will probably win the election.,
331,capable,,,,He is not capable of typing that fast so is now taking a class.,
332,capacity,,,,"This elevator has the official capacity of only 8 people, but we've fit 10 skinny people in there before.",
333,capital,,,,I thought all sentences started with a capital letter.,
334,capitol,,,,The governor has an office in the capitol but also works in his own private office.,
335,captain,,,,The captain of the ship said I could come aboard.,
336,captive,,,,"After being held captive for 2 weeks, the prisoners were allowed to leave.",
337,capture,,,,We will never capture a raccoon if you make those stupid noises.,
338,car,,,,My car's hood ornament was stolen but it's still a unique looking car.,
339,career,,,,He doesn't know if his career will be football or accounting yet.,
340,careful,,,,"If you are careful to not make a noise, you won't wake the baby.",
341,carefully,,,,Choose your words carefully so as not to arouse suspicion.,
342,careless,carelessness,,,I am tired of her carelessness concerning taking care of the animals; I always have to come later to clean up.,
343,carfare,,,,If I knew what the carfare was for that service I could decide whether or not to take the subway.,
344,cargoes,,,,Those trucks must be carrying heavy cargoes because they accelerate very slowly.,
345,carpenter,,,,"If I were a carpenter, I would make a big beautiful bed with a matching dresser.",
346,carriage,,,,The antique shop had a baby carriage that dated back to the 1800s.,
347,carry,carried,carrying,,I have been carrying a heavy load but I can walk another mile or two.,
348,cashier,,,,The store cashier rang up forty-seven dollars but I knew I hadn't bought that much stuff.,
349,castle,,,,I would love to make enough money to buy an old castle in Scotland.,
350,cat,,,,"After the cat had kittens, she promptly fell asleep.",
351,catalog,,,,I looked up the author in the card catalog at the library but they had no record.,
352,catch,caught,,,She couldn't swim so she wanted to jump in the pool and have me to catch her.,
353,cathedral,,,,We visited the most ornate Catholic cathedral in England.,
354,cattle,,,,"I have raised cattle since I was a young man, but I only started raising pigs last year.",
355,caught,catch,,,She caught her first flyball.,
356,cauliflower,,,,Cauliflower is great when it's been steamed but it's even better with cheese.,
357,cavalry,,,,Call in the cavalry; their horses will be faster than tanks.,
358,cease,ceasing,,,The general called a cease fire only after hundreds had been killed.,
359,ceiling,,,,"You must always have a white ceiling, even if the walls are not.",
360,celebrate,celebrating,,,We will be celebrating his eightieth birthday next week.,
361,celebration,,,,The celebration lasted for two hours longer than expected.,
362,celery,,,,Celery can be used to thicken up a spaghetti sauce.,
363,cellar,,,,The cellar was the best place to hide.,
364,cemetery,,,,At the country cemetery we found graves from people who died in the Civil War.,
365,census,,,,Every few years the government takes a census to see how many people we have.,
366,center,,,,You must sit in the center of the circle so that everyone can hear you.,
367,century,,,,"A century is a hundred years, but what is millennium?",
368,cereal,,,,I eat cereal with fruit and sugar every morning.,
369,ceremony,,,,After the graduation ceremony we all threw our hats up in the air.,
370,certain,,,,Do you know for certain that the white vehicle was parked askew that morning?,
371,certainly,,,,Certainly I want you to take the class but I don't want you to get too busy.,
372,certificate,,,,We receive certificates indicating that we have completed drivers' training.,
373,chair,,,,I need a really comfortable chair at my desk or I get a backache when working.,
374,chalk,,,,We have all different colors of chalk from which to choose for writing on the blackboard.,
375,chamber,,,,"In the machine, there is a small chamber, which can hold about a gallon of water.",
376,champion,,,,"Harry may be the champion of chess, but I'm the champion of making chess pieces.",
377,chance,,,,What are the chances that you will win the lottery? Zilch!,
378,change,changeable,,,Change your clothes before going out to dinner.,
379,chapel,,,,We got married in a very small chapel in the country.,
380,character,,,,You call her a character actress because she is not a leading lady.,
381,chargeable,,,,"Since these items are chargeable, I'm not going to use up my cash on them.",
382,charity,,,,I gave over $100 to that charity to help the homeless.,
383,chauffeur,,,,The chauffeur knew the client before driving him to the business affair.,
384,chauvinism,,,,"If chauvinism weren't around, we wouldn't need to worry about equality of the sexes.",
385,cheap,,,,"Those items may be cheap, but the quality is bad too.",
386,cheat,,,,I never cheated on my school exams even though it may have helped my grades.,
387,cheek,,,,Your cheeks are so rosy today. What's up?,
388,cheerful,,,,"When Mary is cheerful, it makes the rest of us happy too.",
389,cheese,,,,The mouse ate the cheese just before getting smacked.,
390,chemist,,,,You will need a chemist not a biologist to determine the make-up of that liquid.,
391,chestnut,,,,Every Saturday night we go to the corner and buy hot roasted chestnuts.,
392,chicken,,,,"Fried chicken is thought of as a southern dish, but we like it here too.",
393,chief,,,,The chief of the Indian tribe was highly decorated but we didn't know why.,
394,child,,,,My child will never set foot in that school because they can't teach!,
395,children,,,,Laura's children are well-spoken but don't know when to be quiet.,
396,chimney,,,,The chimney was black from so many fires.,
397,chocolate,,,,"If I make a chocolate cake for her birthday, will you bring the ice cream?",
398,choice,,,,You have three choices of desserts but I highly recommend the chocolate cake.,
399,choir,,,,I sing in the choir at church but I'm not involved otherwise.,
400,choose,,,,I would never choose to support that candidate because he is unprincipled.,
401,Christian,,,,Christians have some beliefs in common with Jews.,
402,Christmas,,,,Christmas is the time of year when everyone wants to give presents.,
403,church,,,,She never goes to church on Sundays but she does believe.,
404,cigarette,,,,Cigarettes are bad for your health but people smoke them anyway.,
405,circle,,,,I can draw a better circle than I can a square or triangle.,
406,circular,,,,Your reasoning is circular because both premises are dependent on each other.,
407,circumstance,,,,"If the circumstances were different, I would go with you.",
408,circus,,,,There were even elephants and hippopotamuses at the circus.,
409,cities,city,,,Never in my life have I seen two cities so rampant with poverty.,
410,citizen,,,,"If the citizens of the world realized how important land is to everyone, things would be different.",
411,citizenship,,,,Is it possible that one's citizenship can expire?,
412,city,,,,"If you live in the city then you don't need a car, but living in the country is a different story.",
413,civilization,,,,At the beginning of civilization there were only hunter-gatherers.,
414,claim,claimed,,,I have claimed this seat for myself but there are plenty over there for you.,
415,class,,,,"In my economics class I am learning about the three factors of production: land, labor, and capital.",
416,Claus,,,,Santa Claus is the fictitious American character that gives presents to children at Christmas time.,
417,climate,,,,The climate is very humid but not really that hot.,
418,clock,,,,"If we could turn the clocks backwards, we would have more time.",
419,close,,,,I am so close to solving that problem but I can't seem to finish it.,
420,clothe,,,,I want to clothe the homeless in the winter with these second-hand coats.,
421,clothes,,,,They always wash their clothes on Tuesdays.,
422,clothier,,,,I could make a living as a clothier but I wouldn't be very rich.,
423,cloud,,,,"If you stare at them long enough, you begin to see pictures in the clouds.",
424,coarse,,,,The terrain was so coarse that even our roadbikes couldn't handle it.,
425,coast,,,,On the west coast they seem to be more liberal-minded.,
426,coat,,,,You'll need to put at least two coats of paint on that wall to cover the previous color.,
